ID,Hurricane,Origin,Sex,SVL,Femur,Tibia,Metatarsal,LongestToe,Humerus,Radius,Metacarpal,LongestFinger,FingerCount,ToeCount,FingerArea1,FingerArea2,FingerArea3,ToeArea1,ToeArea2,ToeArea3
WC37,Before,Water Cay,Male,51.76,12.56,13.23,8.47,8.21,8.64,8.54,2.76,4.6,13,15,1.835,1.866,1.878,3.207,3.178,3.195
WC38,Before,Water Cay,Male,59.2,14.3,14.14,8.42,7.94,10.57,9.3,3.12,4.48,12,15,2.376,2.286,2.322,3.395,3.403,3.436
WC39,Before,Water Cay,Male,58.7,13.02,13.67,8.43,7.84,10.07,8.87,3.2,3.73,13,16,2.12,2.109,2.171,2.999,3.078,3.094
WC41,Before,Water Cay,Female,46.21,9.06,10.5,6.67,5.97,7.74,6.79,2.66,3.36,11,14,1.111,1.136,1.1,1.66,1.678,1.662
WC42,Before,Water Cay,Male,58.12,13.9,14.47,8.96,8.95,9.96,9.4,3.13,4.68,13,15,2.494,2.459,2.498,3.707,3.744,3.743
WC43,Before,Water Cay,Male,51.59,13.54,13.14,7.82,7.56,9.17,8.41,3.33,3.81,13,15,1.761,1.726,1.771,2.337,2.379,2.388
WC44,Before,Water Cay,Female,41.39,9.15,10.16,6.16,5.99,7.09,5.98,2.18,3.12,10,13,0.882,0.875,0.861,1.312,1.327,1.344
WC45,Before,Water Cay,Male,55.12,12.95,13.45,8.4,8.23,10.47,9.01,2.93,4.02,12,14,1.899,1.918,1.852,2.945,2.924,2.955
WC46,Before,Water Cay,Male,53.79,12.4,13.41,8.26,8.46,9.98,8.64,3.21,4.01,12,15,1.91,1.906,1.93,2.839,2.901,2.841
WC47,Before,Water Cay,Female,43.58,8.75,9.9,6.41,6.87,7.54,6.78,2.67,3.16,10,12,1.109,1.102,1.086,1.658,1.684,1.614
WC48,Before,Water Cay,Male,52.83,12.26,13.22,8.07,7.63,10.08,8.97,3.17,4.02,13,15,1.923,1.892,1.928,2.95,2.933,2.907
